item1_id,item2_id,item1_text,item2_text,item1_valence,item2_valence,item1_arousal,item2_arousal,item1_dominance,item2_dominance,valence_human_1,valence_human_2,valence_human_3,arousal_human_1,arousal_human_2,arousal_human_3,dominance_human_1,dominance_human_2,dominance_human_3
113CWL018_952_1022,Nathans_Bylichka_15318_15334,Your contribution last year of helped us get where we are today.,"“Thanks, Dvorov.",3.9,3.56,3.1,3.0,3.4,3.22,Text1,Text2,Text1,Text1,Text2,Text2,Text1,Text1,Text1
SemEval_1155,wsj_2465_4206_4287,Microsoft to release next generation phone,Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,3.36,3.0,3.0,3.14,3.27,3.14,Text1,Text1,Text1,Text2,Text2,Text1,Text1,Text2,Text1
SemEval_763,Nathans_Bylichka_12551_12560,Secret hotels in Irish countryside,What up?”,2.86,3.11,3.0,3.11,2.86,3.11,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text2
SemEval_597,116CUL034_2074_2422,Stenson defends his title at Dubai,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",3.12,3.5,3.12,3.13,3.12,3.12,Text1,Text2,Text2,Text1,Text1,Text2,Text2,Text2,Text2
SemEval_1155,Nathans_Bylichka_45926_45965,Microsoft to release next generation phone,"Isis collapsed on the fur, strings cut.",3.36,2.6,3.0,3.4,3.27,3.1,Text2,Text1,Text1,Text2,Text1,Text2,Text1,Text1,Text1
SemEval_1154,captured_moments_5085_5254,Audio Slide Show: A love story lasting 61 years,"Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",3.2,3.29,2.9,3.29,3.0,3.43,Text2,Text2,Text2,Text2,Text1,Text2,Text2,Text2,Text2
SemEval_1155,detroit_12208_12263,Microsoft to release next generation phone,"Did we build sane, sustainable, survival shelter homes?",3.36,3.1,3.0,3.0,3.27,3.1,Text1,Text2,Text1,Text2,Text2,Text1,Text1,Text1,Text1
wsj_2465_4206_4287,hotel-california_25973_25999,Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,No one else said anything.,3.0,2.82,3.14,2.55,3.14,3.09,Text1,Text1,Text1,Text1,Text1,Text2,Text1,Text1,Text1
116CUL034_2074_2422,blog-new-year's-resolutions_5010_5074,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",Self-efficacy did not have a significant effect on goal-setting.,3.5,2.9,3.13,3.0,3.12,3.1,Text1,Text1,Text1,Text1,Text2,Text1,Text1,Text2,Text1
Nathans_Bylichka_15318_15334,602CZL285_86_259,"“Thanks, Dvorov.",Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,3.56,3.5,3.0,3.0,3.22,3.17,Text1,Text1,Text1,Text2,Text2,Text2,Text1,Text1,Text1
116CUL034_796_978,118CWL050_2436_2656,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.","Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",3.2,3.0,3.0,3.0,3.5,3.0,Text1,Text1,Text1,Text2,Text2,Text1,Text1,Text2,Text1
SemEval_763,hotel-california_33157_33182,Secret hotels in Irish countryside,Our instinct was to hide.,2.86,2.8,3.0,3.1,2.86,2.8,Text1,Text1,Text1,Text2,Text2,Text1,Text1,Text2,Text2
hsus4_4933_5015,SemEval_1154,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",Audio Slide Show: A love story lasting 61 years,2.8,3.2,2.8,2.9,3.1,3.0,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text1,Text2
116CUL034_2074_2422,captured_moments_33844_33911,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.","I heard no voices until Malaquez said, ""Enter.""",3.5,2.9,3.13,2.9,3.12,2.9,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1
How_soon-Lebron-James_2193_2304,NYTnewswire4_3018_3182,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?","You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",2.7,3.37,3.3,3.63,2.9,3.25,Text2,Text1,Text2,Text1,Text2,Text2,Text2,Text2,Text1
SemEval_597,SemEval_1154,Stenson defends his title at Dubai,Audio Slide Show: A love story lasting 61 years,3.12,3.2,3.12,2.9,3.12,3.0,Text2,Text2,Text1,Text1,Text1,Text1,Text1,Text1,Text1
How_soon-Lebron-James_2193_2304,captured_moments_5085_5254,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?","Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",2.7,3.29,3.3,3.29,2.9,3.43,Text2,Text2,Text2,Text1,Text1,Text2,Text2,Text2,Text2
detroit_12208_12263,SemEval_597,"Did we build sane, sustainable, survival shelter homes?",Stenson defends his title at Dubai,3.1,3.12,3.0,3.12,3.1,3.12,Text2,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text2
NYTnewswire7_3260_3393,hsus4_4933_5015,"""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""","REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.0,2.8,3.0,2.8,3.12,3.1,Text2,Text1,Text1,Text1,Text1,Text1,Text1,Text2,Text1
SemEval_1155,blog-new-year's-resolutions_5010_5074,Microsoft to release next generation phone,Self-efficacy did not have a significant effect on goal-setting.,3.36,2.9,3.0,3.0,3.27,3.1,Text1,Text1,Text1,Text2,Text1,Text2,Text1,Text1,Text1
Ant_Robot_19422_19434,Nathans_Bylichka_12551_12560,The Behavior,What up?”,3.0,3.11,2.78,3.11,3.0,3.11,Text2,Text1,Text2,Text2,Text2,Text1,Text2,Text2,Text1
Nathans_Bylichka_15318_15334,hotel-california_25973_25999,"“Thanks, Dvorov.",No one else said anything.,3.56,2.82,3.0,2.55,3.22,3.09,Text1,Text2,Text1,Text1,Text1,Text1,Text1,Text1,Text1
Nathans_Bylichka_29483_29506,SemEval_1154,"“Roll up your sleeves,”",Audio Slide Show: A love story lasting 61 years,3.0,3.2,3.4,2.9,3.4,3.0,Text2,Text1,Text2,Text1,Text1,Text1,Text1,Text1,Text2
Nathans_Bylichka_45926_45965,How_soon-Lebron-James_2193_2304,"Isis collapsed on the fur, strings cut.","I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?",2.6,2.7,3.4,3.3,3.1,2.9,Text1,Text2,Text2,Text1,Text2,Text2,Text1,Text2,Text1
How_soon-Lebron-James_2193_2304,wsj_2465_4206_4287,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?",Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,2.7,3.0,3.3,3.14,2.9,3.14,Text2,Text2,Text1,Text1,Text2,Text1,Text2,Text2,Text2
SemEval_597,hsus4_4933_5015,Stenson defends his title at Dubai,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.12,2.8,3.12,2.8,3.12,3.1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1
detroit_12208_12263,captured_moments_5085_5254,"Did we build sane, sustainable, survival shelter homes?","Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",3.1,3.29,3.0,3.29,3.1,3.43,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text2,Text1
detroit_12208_12263,Anti-Terrorist_4031_4279,"Did we build sane, sustainable, survival shelter homes?","Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",3.1,2.92,3.0,3.0,3.1,2.91,Text1,Text1,Text1,Text2,Text2,Text2,Text1,Text1,Text2
SemEval_763,How_soon-Lebron-James_2193_2304,Secret hotels in Irish countryside,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?",2.86,2.7,3.0,3.3,2.86,2.9,Text1,Text1,Text1,Text2,Text2,Text2,Text1,Text2,Text1
Nathans_Bylichka_15318_15334,Uprooted_Farming-on-Sand_3238_3353,"“Thanks, Dvorov.","Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year.",3.56,3.14,3.0,3.0,3.22,3.43,Text1,Text1,Text1,Text1,Text2,Text1,Text2,Text1,Text2
Nathans_Bylichka_38817_38837,NYTnewswire4_3018_3182,“Didn’t I warn you?”,"You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",2.44,3.37,3.33,3.63,3.33,3.25,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text1,Text1
How_soon-Lebron-James_2193_2304,Nathans_Bylichka_45926_45965,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?","Isis collapsed on the fur, strings cut.",2.7,2.6,3.3,3.4,2.9,3.1,Text1,Text2,Text1,Text1,Text2,Text2,Text2,Text2,Text2
blog-new-year's-resolutions_5010_5074,captured_moments_5085_5254,Self-efficacy did not have a significant effect on goal-setting.,"Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",2.9,3.29,3.0,3.29,3.1,3.43,Text2,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text2
Anti-Terrorist_4031_4279,hotel-california_33157_33182,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",Our instinct was to hide.,2.92,2.8,3.0,3.1,2.91,2.8,Text1,Text2,Text1,Text2,Text2,Text2,Text1,Text2,Text1
SemEval_1155,NYTnewswire4_3018_3182,Microsoft to release next generation phone,"You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",3.36,3.37,3.0,3.63,3.27,3.25,Text2,Text1,Text1,Text2,Text1,Text2,Text1,Text1,Text1
Uprooted_Farming-on-Sand_3238_3353,hotel-california_33157_33182,"Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year.",Our instinct was to hide.,3.14,2.8,3.0,3.1,3.43,2.8,Text1,Text1,Text1,Text2,Text1,Text2,Text1,Text1,Text1
116CUL034_796_978,Ant_Robot_19422_19434,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.",The Behavior,3.2,3.0,3.0,2.78,3.5,3.0,Text1,Text2,Text1,Text1,Text2,Text1,Text2,Text1,Text1
Anti-Terrorist_4031_4279,Ant_Robot_19422_19434,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",The Behavior,2.92,3.0,3.0,2.78,2.91,3.0,Text2,Text1,Text1,Text1,Text2,Text1,Text1,Text2,Text2
602CZL285_86_259,118CWL050_2436_2656,Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,"Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",3.5,3.0,3.0,3.0,3.17,3.0,Text1,Text1,Text1,Text2,Text2,Text2,Text2,Text1,Text1
detroit_12208_12263,118CWL050_2436_2656,"Did we build sane, sustainable, survival shelter homes?","Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",3.1,3.0,3.0,3.0,3.1,3.0,Text1,Text1,Text1,Text2,Text2,Text2,Text2,Text1,Text1
wsj_2465_4206_4287,NYTnewswire7_3260_3393,Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,"""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""",3.0,3.0,3.14,3.0,3.14,3.12,Text1,Text1,Text2,Text2,Text1,Text2,Text2,Text2,Text1
Ant_Robot_19422_19434,Nathans_Bylichka_29483_29506,The Behavior,"“Roll up your sleeves,”",3.0,3.0,2.78,3.4,3.0,3.4,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text2
The_Black_Willow_11596_11663,Nathans_Bylichka_38817_38837,"Allan crouched over his desk once more, pen in hand and mind blank.",“Didn’t I warn you?”,2.7,2.44,3.0,3.33,2.8,3.33,Text1,Text1,Text1,Text2,Text2,Text2,Text2,Text2,Text2
SemEval_763,hotel-california_25973_25999,Secret hotels in Irish countryside,No one else said anything.,2.86,2.82,3.0,2.55,2.86,3.09,Text1,Text1,Text2,Text1,Text1,Text1,Text2,Text1,Text2
Nathans_Bylichka_15318_15334,captured_moments_33844_33911,"“Thanks, Dvorov.","I heard no voices until Malaquez said, ""Enter.""",3.56,2.9,3.0,2.9,3.22,2.9,Text1,Text1,Text1,Text1,Text1,Text1,Text2,Text1,Text2
SemEval_1155,Nathans_Bylichka_15318_15334,Microsoft to release next generation phone,"“Thanks, Dvorov.",3.36,3.56,3.0,3.0,3.27,3.22,Text2,Text2,Text2,Text1,Text1,Text2,Text2,Text2,Text2
Ant_Robot_19422_19434,How_soon-Lebron-James_2193_2304,The Behavior,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?",3.0,2.7,2.78,3.3,3.0,2.9,Text1,Text1,Text1,Text2,Text2,Text2,Text1,Text2,Text2
116CUL034_796_978,Anti-Terrorist_4031_4279,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.","Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",3.2,2.92,3.0,3.0,3.5,2.91,Text2,Text1,Text1,Text2,Text1,Text1,Text1,Text1,Text1
116CUL034_796_978,NYTnewswire4_3018_3182,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.","You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",3.2,3.37,3.0,3.63,3.5,3.25,Text2,Text2,Text1,Text2,Text2,Text2,Text1,Text1,Text2
How_soon-Lebron-James_2193_2304,blog-new-year's-resolutions_5010_5074,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?",Self-efficacy did not have a significant effect on goal-setting.,2.7,2.9,3.3,3.0,2.9,3.1,Text2,Text2,Text2,Text1,Text1,Text1,Text2,Text2,Text2
Anti-Terrorist_4031_4279,captured_moments_5085_5254,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.","Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",2.92,3.29,3.0,3.29,2.91,3.43,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2
Nathans_Bylichka_45926_45965,Uprooted_Farming-on-Sand_3238_3353,"Isis collapsed on the fur, strings cut.","Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year.",2.6,3.14,3.4,3.0,3.1,3.43,Text2,Text2,Text2,Text1,Text1,Text1,Text2,Text2,Text2
SemEval_597,SemEval_763,Stenson defends his title at Dubai,Secret hotels in Irish countryside,3.12,2.86,3.12,3.0,3.12,2.86,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text2
113CWL018_952_1022,116CUL034_796_978,Your contribution last year of helped us get where we are today.,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.",3.9,3.2,3.1,3.0,3.4,3.5,Text1,Text1,Text1,Text2,Text2,Text2,Text2,Text2,Text1
SemEval_597,Nathans_Bylichka_29483_29506,Stenson defends his title at Dubai,"“Roll up your sleeves,”",3.12,3.0,3.12,3.4,3.12,3.4,Text1,Text1,Text1,Text2,Text2,Text2,Text2,Text2,Text2
Uprooted_Farming-on-Sand_3238_3353,NYTnewswire4_3018_3182,"Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year.","You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",3.14,3.37,3.0,3.63,3.43,3.25,Text2,Text2,Text2,Text2,Text2,Text1,Text1,Text1,Text1
How_soon-Lebron-James_2193_2304,captured_moments_33844_33911,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?","I heard no voices until Malaquez said, ""Enter.""",2.7,2.9,3.3,2.9,2.9,2.9,Text1,Text2,Text2,Text1,Text1,Text1,Text2,Text1,Text1
detroit_12208_12263,blog-new-year's-resolutions_1573_1737,"Did we build sane, sustainable, survival shelter homes?",An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,3.1,3.1,3.0,3.3,3.1,3.2,Text2,Text2,Text1,Text2,Text1,Text2,Text2,Text2,Text2
Nathans_Bylichka_15318_15334,NYTnewswire4_3018_3182,"“Thanks, Dvorov.","You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",3.56,3.37,3.0,3.63,3.22,3.25,Text1,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text2
The_Black_Willow_11596_11663,SemEval_763,"Allan crouched over his desk once more, pen in hand and mind blank.",Secret hotels in Irish countryside,2.7,2.86,3.0,3.0,2.8,2.86,Text2,Text2,Text2,Text2,Text1,Text2,Text2,Text2,Text1
118CWL050_2436_2656,Nathans_Bylichka_12551_12560,"Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",What up?”,3.0,3.11,3.0,3.11,3.0,3.11,Text2,Text2,Text2,Text1,Text2,Text2,Text2,Text2,Text2
116CUL034_796_978,wsj_2465_4206_4287,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.",Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,3.2,3.0,3.0,3.14,3.5,3.14,Text1,Text1,Text1,Text2,Text1,Text1,Text1,Text1,Text1
How_soon-Lebron-James_2193_2304,NYTnewswire7_3260_3393,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?","""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""",2.7,3.0,3.3,3.0,2.9,3.12,Text2,Text2,Text2,Text1,Text1,Text1,Text1,Text2,Text2
hotel-california_33157_33182,Nathans_Bylichka_12551_12560,Our instinct was to hide.,What up?”,2.8,3.11,3.1,3.11,2.8,3.11,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text2
Anti-Terrorist_4031_4279,wsj_2465_4206_4287,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,2.92,3.0,3.0,3.14,2.91,3.14,Text2,Text2,Text2,Text2,Text1,Text2,Text2,Text1,Text1
116CUL034_796_978,hotel-california_25973_25999,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.",No one else said anything.,3.2,2.82,3.0,2.55,3.5,3.09,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1
Nathans_Bylichka_38817_38837,blog-new-year's-resolutions_5010_5074,“Didn’t I warn you?”,Self-efficacy did not have a significant effect on goal-setting.,2.44,2.9,3.33,3.0,3.33,3.1,Text2,Text2,Text2,Text1,Text2,Text2,Text1,Text1,Text1
Anti-Terrorist_4031_4279,hotel-california_25973_25999,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",No one else said anything.,2.92,2.82,3.0,2.55,2.91,3.09,Text1,Text1,Text2,Text1,Text1,Text1,Text2,Text2,Text1
detroit_12208_12263,captured_moments_33844_33911,"Did we build sane, sustainable, survival shelter homes?","I heard no voices until Malaquez said, ""Enter.""",3.1,2.9,3.0,2.9,3.1,2.9,Text2,Text1,Text2,Text1,Text1,Text2,Text1,Text1,Text1
602CZL285_86_259,captured_moments_33844_33911,Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,"I heard no voices until Malaquez said, ""Enter.""",3.5,2.9,3.0,2.9,3.17,2.9,Text1,Text2,Text1,Text2,Text2,Text1,Text1,Text1,Text1
blog-new-year's-resolutions_1573_1737,602CZL285_86_259,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,3.1,3.5,3.3,3.0,3.2,3.17,Text2,Text2,Text1,Text1,Text1,Text1,Text1,Text2,Text1
113CWL018_952_1022,Anti-Terrorist_4031_4279,Your contribution last year of helped us get where we are today.,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",3.9,2.92,3.1,3.0,3.4,2.91,Text1,Text1,Text1,Text1,Text1,Text2,Text1,Text1,Text1
The_Black_Willow_11596_11663,SemEval_1154,"Allan crouched over his desk once more, pen in hand and mind blank.",Audio Slide Show: A love story lasting 61 years,2.7,3.2,3.0,2.9,2.8,3.0,Text2,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text2
NYTnewswire7_3260_3393,Nathans_Bylichka_12551_12560,"""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""",What up?”,3.0,3.11,3.0,3.11,3.12,3.11,Text1,Text2,Text2,Text1,Text2,Text2,Text2,Text1,Text1
blog-new-year's-resolutions_5010_5074,captured_moments_33844_33911,Self-efficacy did not have a significant effect on goal-setting.,"I heard no voices until Malaquez said, ""Enter.""",2.9,2.9,3.0,2.9,3.1,2.9,Text1,Text2,Text2,Text1,Text1,Text1,Text1,Text1,Text2
SemEval_763,captured_moments_33844_33911,Secret hotels in Irish countryside,"I heard no voices until Malaquez said, ""Enter.""",2.86,2.9,3.0,2.9,2.86,2.9,Text2,Text2,Text2,Text2,Text1,Text2,Text2,Text1,Text1
116CUL034_796_978,116CUL034_2074_2422,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.","Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",3.2,3.5,3.0,3.13,3.5,3.12,Text2,Text2,Text1,Text2,Text2,Text2,Text1,Text1,Text1
Nathans_Bylichka_15318_15334,Nathans_Bylichka_45926_45965,"“Thanks, Dvorov.","Isis collapsed on the fur, strings cut.",3.56,2.6,3.0,3.4,3.22,3.1,Text1,Text2,Text1,Text2,Text2,Text2,Text1,Text2,Text1
